"date_time","bid_open","bid_high","bid_low","bid_close"
2024-08-15 07:00:00.000 +0700,2447.76,2469.99,2432.07,2454.69
2024-08-16 07:00:00.000 +0700,2454.80,2509.68,2450.55,2507.58
2024-08-18 07:00:00.000 +0700,2508.85,2510.13,2502.25,2504.77
2024-08-19 07:00:00.000 +0700,2504.78,2507.36,2485.59,2504.18
2024-08-20 07:00:00.000 +0700,2504.17,2531.52,2497.17,2514.60
2024-08-21 07:00:00.000 +0700,2514.60,2519.85,2492.96,2513.76
2024-08-22 07:00:00.000 +0700,2513.78,2514.56,2470.69,2485.07
2024-08-23 07:00:00.000 +0700,2485.04,2518.25,2484.84,2512.20
2024-08-25 07:00:00.000 +0700,2511.93,2514.44,2510.75,2512.75
2024-08-26 07:00:00.000 +0700,2512.80,2526.71,2508.66,2517.23
2024-08-27 07:00:00.000 +0700,2517.22,2525.93,2503.35,2525.55
2024-08-28 07:00:00.000 +0700,2525.60,2528.92,2493.50,2507.14
2024-08-29 07:00:00.000 +0700,2507.05,2528.59,2503.44,2520.81
2024-08-30 07:00:00.000 +0700,2520.82,2526.79,2494.03,2503.19
2024-09-01 07:00:00.000 +0700,2502.85,2504.58,2501.63,2503.38
2024-09-02 07:00:00.000 +0700,2503.40,2507.18,2489.95,2497.57
2024-09-03 07:00:00.000 +0700,2497.58,2506.17,2473.40,2492.96
2024-09-04 07:00:00.000 +0700,2492.98,2500.20,2471.74,2495.17
2024-09-05 07:00:00.000 +0700,2495.18,2523.39,2493.63,2516.09
2024-09-06 07:00:00.000 +0700,2515.97,2529.17,2485.06,2490.86
2024-09-08 07:00:00.000 +0700,2496.63,2497.92,2496.00,2497.72
2024-09-09 07:00:00.000 +0700,2497.70,2507.10,2485.43,2506.85
2024-09-10 07:00:00.000 +0700,2506.83,2518.40,2500.03,2516.33
2024-09-11 07:00:00.000 +0700,2516.32,2528.99,2500.94,2512.68
2024-09-12 07:00:00.000 +0700,2512.67,2560.00,2510.86,2557.29
2024-09-13 07:00:00.000 +0700,2557.30,2586.00,2556.56,2578.78
2024-09-15 07:00:00.000 +0700,2575.44,2580.58,2575.44,2579.87
2024-09-16 07:00:00.000 +0700,2579.90,2589.59,2575.16,2582.72
2024-09-17 07:00:00.000 +0700,2582.86,2586.83,2560.67,2570.56
2024-09-18 07:00:00.000 +0700,2570.55,2600.10,2546.76,2559.09
2024-09-19 07:00:00.000 +0700,2559.08,2594.84,2550.97,2587.62
2024-09-20 07:00:00.000 +0700,2587.55,2625.64,2584.72,2621.94
2024-09-22 07:00:00.000 +0700,2619.50,2621.87,2618.15,2620.23
2024-09-23 07:00:00.000 +0700,2620.38,2634.78,2613.66,2627.40
2024-09-24 07:00:00.000 +0700,2627.33,2664.26,2622.54,2659.16
2024-09-25 07:00:00.000 +0700,2658.99,2670.43,2649.58,2658.13
2024-09-26 07:00:00.000 +0700,2658.12,2685.49,2654.71,2672.19
2024-09-27 07:00:00.000 +0700,2672.26,2674.21,2642.92,2658.14
2024-09-29 07:00:00.000 +0700,2659.00,2663.45,2658.93,2662.57
2024-09-30 07:00:00.000 +0700,2662.55,2665.94,2624.62,2634.82
2024-10-01 07:00:00.000 +0700,2634.85,2673.09,2633.77,2661.88
2024-05-24 07:00:00.000 +0700,2331.07,2347.37,2325.46,2333.18
2024-05-27 07:00:00.000 +0700,2335.59,2358.52,2331.68,2350.08
2024-05-28 07:00:00.000 +0700,2352.38,2364.14,2340.32,2360.60
2024-05-29 07:00:00.000 +0700,2360.08,2361.37,2334.61,2338.04
2024-05-30 07:00:00.000 +0700,2338.57,2351.77,2322.74,2342.61
2024-05-31 07:00:00.000 +0700,2343.47,2359.80,2320.60,2329.45
2024-06-03 07:00:00.000 +0700,2328.11,2354.76,2314.77,2350.90
2024-06-04 07:00:00.000 +0700,2351.39,2352.83,2315.62,2326.81
2024-06-05 07:00:00.000 +0700,2328.19,2357.41,2325.92,2354.82
2024-06-06 07:00:00.000 +0700,2355.66,2378.50,2353.44,2375.96
